,sno,return_time,country,size,size2,size3,size4,Occasion
298,298,None,India,S,M,L,XL,
299,299,None,India,S,M,L,XL,
300,300,None,India,S,M,L,XL,
301,301,None,India,S,M,L,XL,
302,302,None,India,S,M,L,XL,
303,303,None,India,S,M,L,XL,
304,304,None,India,S,M,L,XL,
305,305,10 Days Return Policy?,India,S,M,L,XL,
306,306,None,India,S,M,L,XL,
307,307,10 Days Return Policy?,India,S,M,L,XL,
308,308,10 Days Return Policy?,India,S,M,L,XL,
309,309,None,India,S,M,L,XL,
310,310,None,India,S,M,L,XL,
311,311,10 Days Return Policy?,India,S,M,L,XL,
312,312,10 Days Return Policy?,India,S,M,L,XL,
313,313,10 Days Return Policy?,India,S,M,L,XL,
314,314,None,India,S,M,L,XL,
315,315,10 Days Return Policy?,India,S,M,L,XL,
316,316,10 Days Return Policy?,India,S,M,L,XL,
317,317,10 Days Return Policy?,India,S,M,L,XL,
318,318,10 Days Return Policy?,India,S,M,L,XL,
319,319,10 Days Return Policy?,India,S,M,L,XL,
320,320,10 days return policy?,India,S,M,L,XL,
321,321,10 days return policy?,India,S,M,L,XL,
322,322,10 Days Return Policy?,India,S,M,L,XL,
323,323,None,India,S,M,L,XL,
324,324,10 Days Return Policy?,India,S,M,L,XL,
325,325,None,India,S,M,L,XL,
326,326,10 days return policy?,India,S,M,L,XL,
327,327,None,India,S,M,L,XL,
328,328,None,India,S,M,L,XL,
329,329,None,India,S,M,L,XL,
330,330,None,India,S,M,L,XL,
331,331,10 Days Return Policy?,India,S,M,L,XL,
332,332,None,India,S,M,L,XL,
333,333,None,India,S,M,L,XL,
334,334,None,India,S,M,L,XL,
335,335,None,India,S,M,L,XL,
336,336,None,India,S,M,L,XL,
337,337,None,India,S,M,L,XL,
338,338,None,India,S,M,L,XL,
339,339,None,India,S,M,L,XL,
340,340,None,India,S,M,L,XL,
341,341,None,India,S,M,L,XL,
342,342,None,India,S,M,L,XL,
343,343,None,India,S,M,L,XL,
344,344,None,India,S,M,L,XL,
345,345,10 Days Return Policy?,India,S,M,L,XL,
346,346,None,India,S,M,L,XL,
347,347,10 Days Return Policy?,India,S,M,L,XL,
348,348,10 Days Return Policy?,India,S,M,L,XL,
349,349,None,India,S,M,L,XL,
350,350,None,India,S,M,L,XL,
351,351,10 Days Return Policy?,India,S,M,L,XL,
352,352,10 Days Return Policy?,India,S,M,L,XL,
353,353,10 Days Return Policy?,India,S,M,L,XL,
354,354,None,India,S,M,L,XL,
355,355,10 Days Return Policy?,India,S,M,L,XL,
356,356,10 Days Return Policy?,India,S,M,L,XL,
357,357,10 Days Return Policy?,India,S,M,L,XL,
358,358,10 Days Return Policy?,India,S,M,L,XL,
359,359,10 Days Return Policy?,India,S,M,L,XL,
360,360,10 days return policy?,India,S,M,L,XL,
361,361,10 days return policy?,India,S,M,L,XL,
362,362,10 Days Return Policy?,India,S,M,L,XL,
363,363,None,India,S,M,L,XL,
364,364,10 Days Return Policy?,India,S,M,L,XL,
365,365,None,India,S,M,L,XL,
366,366,10 days return policy?,India,S,M,L,XL,
367,367,None,India,S,M,L,XL,
368,368,None,India,S,M,L,XL,
369,369,None,India,S,M,L,XL,
370,370,None,India,S,M,L,XL,
371,371,10 Days Return Policy?,India,S,M,L,XL,
372,372,None,India,S,M,L,XL,
373,373,None,India,S,M,L,XL,
374,374,None,India,S,M,L,XL,
375,375,None,India,S,M,L,XL,
376,376,None,India,S,M,L,XL,
377,377,None,India,S,M,L,XL,
378,378,None,India,S,M,L,XL,
379,379,None,India,S,M,L,XL,
380,380,None,India,S,M,L,XL,
381,381,None,India,S,M,L,XL,
382,382,None,India,S,M,L,XL,
383,383,None,India,S,M,L,XL,
384,384,None,India,S,M,L,XL,
385,385,10 Days Return Policy?,India,S,M,L,XL,
386,386,None,India,S,M,L,XL,
387,387,10 Days Return Policy?,India,S,M,L,XL,
388,388,10 Days Return Policy?,India,S,M,L,XL,
389,389,None,India,S,M,L,XL,
390,390,None,India,S,M,L,XL,
391,391,10 Days Return Policy?,India,S,M,L,XL,
392,392,10 Days Return Policy?,India,S,M,L,XL,
393,393,10 Days Return Policy?,India,S,M,L,XL,
