,sno,Brand_name,Category,Product_type,Product_name,Price,Product_code
3578,3578,Lauren Adams,"Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...",₹450,
3579,3579,Swear Clothes,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹399,
3580,3580,Indi Hemp,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,₹984,
3581,3581,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹499,
3582,3582,Ik Fashion Town,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,₹349,
3583,3583,Indi Hemp,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹499,
3584,3584,Indi Hemp,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹499,
3585,3585,JUHIL BAZAR,"Men Regular, Slim, Tailored Fit Washed Cut Away Collar ...","Men Regular, Slim, Tailored Fit Washed Cut Away Collar ...","Men Regular, Slim, Tailored Fit Washed Cut Away Collar ...",₹354,
3586,3586,Indi Hemp,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹944,
3587,3587,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹499,
3588,3588,Ik Fashion Town,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹349,
